countryLabel,geometryCountry,continentLabel,geometryContinent,musicFestivalLabel
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Falls Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Fuse Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Fairbridge Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Field Day
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Future Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Golden Plains Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Gone South
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Good Vibrations Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Homebake
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Melbourne International Arts Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Meredith Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Mildura Country Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Moomba
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Nannup Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Narara Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Overcranked
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Port Fairy Folk Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Rainbow Serpent Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Pyramid Rock Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Queenscliff Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Queensland Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Rat Parties
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Rock It
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Scattered
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Southbound
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Southern Roots Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),SoundCulture
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Sound Summit
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),St Kilda Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Stompen Ground
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Soundwave
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Tamworth Country Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Sunbury Pop Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),The Basin Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),The Great Escape
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Triple J's Impossible Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),V Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),WOMADelaide
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Wagga Wagga Jazz and Blues Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),West Coast Blues & Roots Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Village Fair
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Woodford Folk Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Tablelands Folk Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Transmission
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Isotopia Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Iqon
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Parkes Elvis Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Myponga Pop Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Wandong Country Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Break The Ice
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Summersault
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Vivid LIVE
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Hobart Baroque Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Parklife Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Subsonic Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Paradise Music Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Grampians Jazz Festival
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Unify Gathering
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),The Grass is Greener
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Mountain Sounds
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Party In The Paddock
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Spilt Milk
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),RNB Fridays Live
Australia,Point(137.0 -28.0),Oceania,Point(166.0 -21.0),Patchewollock Music Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Festwochen der Alten Musik
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Salzburg Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Salzburg Easter Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Vienna Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Seefestspiele Mörbisch
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Österreichisches Blasmusikfest
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Aerodrome
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Q464323
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Ars Electronica
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Schubertiade
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Bregenzer Festspiele
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Aspekte Salzburg
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Q760046
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Donauinselfest
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Film Festival auf dem Wiener Rathausplatz
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),FM4 Frequency Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Eisenstadt International Haydn Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Tiroler Festspiele Erl
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Schubertiade Vorarlberg
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Steirischer Herbst
